question_id,question_intent,question_text,gold_chunk_id,gold_doc_id,retrieved_chunk_ids_dense,rank_of_first_relevant_dense,retrieved_in_top_k_dense,retrieval_score_dense,retrieved_chunk_ids_sparse,rank_of_first_relevant_sparse,retrieved_in_top_k_sparse,retrieval_score_sparse,retrieved_chunk_ids_hybrid,rank_of_first_relevant_hybrid,retrieved_in_top_k_hybrid,delta_de_hy_rank
37,comparative,How do the two RAG formulations differ in how retrieved passages are used?,517,3,56|630|276|130|61|232|178|536|62|83|17|1|54|627|609|84|565|572|182|31|123|571|291|591|488|518|15|49|491|109|163|20|241|80|546|224|41|527|561|192|386|581,,FALSE,0.7894783460999786|0.7748721685304751|0.7711699879752749|0.7643311572855196|0.7635433627618752|0.7564740353680212|0.7534494928228488|0.7533362737980538|0.7509574538096194|0.748394607606113|0.7477035841219941|0.7447644555746603|0.7437142998975416|0.7421841533998922|0.7418792266019849|0.7403287417274762|0.7397031038047125|0.7396802044477094|0.739438471320752|0.7388107833870218|0.7379631873414618|0.7377731529581686|0.7376312263509727|0.7363659301831176|0.7363527248036792|0.7353346579976776|0.7351259729647127|0.7347469926788537|0.7336338777098315|0.7333021225765795|0.7324989203907208|0.7323795269395791|0.7318463958654137|0.730935071460593|0.7307795914194539|0.7301532341827814|0.7300951486941872|0.7300718842708043|0.729556387780567|0.729053150529566|0.7289420790290603|0.7287597357925698,516|261|548|88|535|87|299|311|264|384|240|200|386|310|164|216|180|186|314|577|206|325|204|502|257|328|140|219|108|165|504|617|374|327|510|394|70|86|107|333|255|288,,FALSE,16.47055747734438|15.806573246964819|13.377928176066678|12.153710528428515|12.127168220789144|11.993821936937909|11.722013629906943|11.598170370768782|10.667580380893174|10.637922126944959|10.482911073604955|10.37344648647505|9.946373479817998|9.941860351553181|9.274188051308155|9.041785193079779|9.016802382747992|8.824329919698114|8.684399076354838|8.649197287918492|8.534671736405379|8.363431629843202|8.32409425171956|8.01529591202139|7.938693931881439|7.799984933634004|7.723390733399769|7.644495610704915|7.643432903056901|7.378004461329027|7.342551423486283|7.064290131973443|7.061985626042209|6.993983248766831|6.884623470623026|6.752277520831713|6.751458766203249|6.74467808566251|6.735763722263599|6.684057692665464|6.603306274557784|6.5985179142154315,386|516|261|548|88|535|87|299|311|264|384|240|200|310|164|216|180|186|314|577|56|630|276|130|61|232|178|536|62|83|17|1|54|627|609|84|565|572|182|31,,FALSE,
38,principle,What limitations of purely parametric language models are identified?,518,3,56|630|130|276|232|609|17|178|536|491|571|61|1|15|509|627|84|580|20|291|31|83|591|62|397|182|49|386|565|618|572|237|561|364|54|581|105|555|263|109|163|488,,FALSE,0.7755605467096143|0.7631440395099498|0.7549183355805377|0.749890862080631|0.7491479382602275|0.742484906552371|0.7387983317626953|0.73744242264863|0.7367454801676386|0.7363090294642871|0.7321047184913748|0.731974738439779|0.7314176025187514|0.7308874227386626|0.7299227610686018|0.7298532373309158|0.7297022939127219|0.7293533751486198|0.7276521495110098|0.7260756680013072|0.7251474819338687|0.7248968114355027|0.7243518501827483|0.7228966865335749|0.7226664110313241|0.7226351496158641|0.7220449517410644|0.7210513544357238|0.7210351495895823|0.7200053995052633|0.7192411714801464|0.7184780885957085|0.7184453640484804|0.7183526529491719|0.7179840714037166|0.717238879179649|0.7172259997224534|0.717053747410271|0.71666215277943|0.7166427384878816|0.7162513340849835|0.7159784757536155,253|111|302|288|67|254|526|386|258|87|384|399|539|586|88|382|573|114|183|519|192|359|69|293|252|518|331|200|72|65|160|626|528|251|91|381|126|340|112|73|113|228,26,FALSE,10.935591573075927|9.885628822669629|9.4485013145753|8.16381747004827|7.93435185590367|7.701242459214629|7.100274043346879|7.077678218947076|7.071340773258763|6.987548852522448|6.840783383820546|6.820076032908298|6.7334605683915285|6.226063241330024|6.175565813677752|6.165663066135577|6.165037220412815|6.12271649250171|6.0262278407716625|5.899696239508689|5.833808334956172|5.8097653396635085|5.788365541707964|5.773540575685178|5.761505059202215|5.665273298827746|5.603126544515673|5.578014398705557|5.572094193869009|5.565424991188664|5.524699080734838|5.474740800259627|5.468259871866385|5.467819219977029|5.46463092120821|5.4110581457931515|5.403082509696684|5.392249883899671|5.383604337675933|5.371093349610986|5.297983680852315|5.228063756621442,386|253|111|302|288|67|254|526|258|87|384|399|539|586|88|382|573|114|183|519|56|630|130|276|232|609|17|178|536|491|571|61|1|15|509|627|84|580|20|291,,FALSE,
39,definition,Which models combine masked language models with a differentiable retriever?,519,3,56|630|276|536|61|130|232|178|17|609|291|627|62|1|84|54|15|182|565|581|571|83|31|591|49|149|495|109|263|386|518|552|572|517|48|41|570|561|555|89|562|616,,FALSE,0.8103887738857862|0.8035411379793137|0.7891907426004183|0.7863776537516175|0.7773987743874362|0.7761836749022624|0.7758862499275454|0.771082624886642|0.7681019760399733|0.7679558914999342|0.7673899193941842|0.7667234549817626|0.7646229368270245|0.7644402221404578|0.7643621524228909|0.7630301324598772|0.760781160853745|0.7604593038109939|0.7595599552458572|0.7588913088687603|0.758869943398897|0.7586610470446781|0.758321258463885|0.7578565540155703|0.7564699511960976|0.7553020157001745|0.7543461819125067|0.754296914951667|0.7542671519107669|0.7537931532343778|0.753379344873291|0.7531641167307747|0.7530524986818481|0.7520816554953693|0.7520530658222309|0.7516289079469142|0.7512268345183458|0.7510204728372366|0.7508847728834037|0.7503257328053791|0.750230503727541|0.7496688811720248,120|152|526|516|200|178|153|92|134|381|539|113|106|131|359|65|119|87|110|154|82|293|77|297|495|201|142|112|213|207|69|421|382|139|140|203|508|205|426|158|76|70,,FALSE,12.60358462456302|11.152242104735276|10.630138133039654|9.91105243420386|9.712148621873974|9.229075746738415|8.903575852488883|8.784691130944962|8.564238978375384|8.39795768305817|8.353206759104495|8.289908924989508|8.209033439356025|8.019225757701737|7.822628913241542|7.736674691068112|7.696794550799361|7.501568243026649|7.278945349757869|7.2368135586527265|7.210621927634987|7.098552800838871|7.0975856616781545|7.095763254510981|7.086949498432651|7.052174561843664|7.0055027424871295|6.790125704656693|6.744417941641364|6.684373570432755|6.657042638541456|6.6556200363474005|6.6004412980759195|6.58549815322439|6.473504856116261|6.458499265793461|6.37553466845654|6.371787378516787|6.366115948405057|6.333622227735189|6.303673749741079|6.184055873861142,178|120|152|526|516|200|153|92|134|381|539|113|106|131|359|65|119|87|110|154|56|630|276|536|61|130|232|17|609|291|627|62|1|84|54|15|182|565|581,,FALSE,
40,mechanism,What search method is used to retrieve top-K documents in RAG?,525,3,56|491|627|565|630|276|178|232|59|11|130|536|1|618|182|15|17|291|609|571|61|20|257|591|83|576|226|48|34|237|274|121|546|580|31|561|58|263|193|572|87|118,,FALSE,0.7202092081201117|0.718348135843744|0.7148951873767575|0.7125545031793409|0.7106300521803525|0.7036137143411917|0.7029583449343668|0.6985341417270011|0.6947818325845774|0.6929146826154173|0.6901581362412661|0.6853103357239264|0.6841297912969778|0.6832327193603207|0.6831324893730712|0.6828636438944047|0.6826996463962617|0.6826424561731735|0.6808725417514939|0.6808170148664437|0.6793420828595911|0.6785990868290019|0.6779011301054164|0.6771727114518159|0.6769366193040072|0.6767822296057217|0.6767287103701003|0.6747021047296998|0.6736870841499942|0.6733043636487629|0.6731691192224867|0.6723938071812073|0.6721397828930303|0.6721291735169059|0.6714230313703043|0.6702666988992273|0.6701051859657704|0.6700340064039856|0.6700106981463995|0.6699869188198782|0.6698732479968631|0.669397319181228,535|232|316|233|228|296|223|578|188|582|289|510|149|541|72|291|294|229|235|512|71|192|190|602|384|242|105|302|295|287|563|253|275|288|604|509|227|331|146|193|277|118,,FALSE,17.58578743112218|16.77975711725521|15.068109176047098|14.683440388622639|14.6777265827852|13.774574530771757|13.43122861497802|13.325308238857058|12.850926291753792|12.827779910210584|12.253140883769282|11.92137874641076|10.858366674357962|10.542915925231204|10.463186904555336|10.331494919054066|10.106920054494626|9.892330805085853|9.61480765500807|9.46643825925102|9.30010237799872|9.283174439999602|9.131093770517612|8.443232455647916|8.431604132358745|8.386615119794847|8.094013257595241|7.948502916848096|7.750518698965898|7.518958082818114|7.277629084689789|7.195009376733745|7.156032878542758|7.0850552064707575|7.078020675782547|7.053955566196881|7.0410661507834575|6.886528010902614|6.8580965348952585|6.8494586383711615|6.802367865086227|6.799592060262236,232|291|535|316|233|228|296|223|578|188|582|289|510|149|541|72|294|229|235|512|56|491|627|565|630|276|178|59|11|130|536|1|618|182|15|17|609|571,,FALSE,
41,definition,Which sequence-to-sequence model is used as the generator in RAG?,526,3,56|630|565|627|232|61|276|130|536|491|54|571|618|178|291|182|59|17|1|264|609|83|15|84|11|591|561|580|193|31|257|20|204|274|364|149|121|119|118|572|277|114,,FALSE,0.7503920448890812|0.7275578548389384|0.7210665806468668|0.7201957409999306|0.7145290562072343|0.7142015761644622|0.7139154517730897|0.7122773107539343|0.7117096411062933|0.7100294979654753|0.7040674099213572|0.7036024201374093|0.7029092935957616|0.7020713744686352|0.702064018486702|0.7020011015736206|0.7011355488680785|0.7005892887545264|0.700081359017099|0.699466802680305|0.6994025423522555|0.6989854653245554|0.6989572239054545|0.6977954833841694|0.6975172779947975|0.6969548026160829|0.6964432199158851|0.6952317276372526|0.6952055372816578|0.6951118404089747|0.6941818310308695|0.6935517133039963|0.6933121200439717|0.693118590343175|0.6925438705241442|0.6917149263107206|0.6906901598810011|0.690431582269793|0.6902567106765476|0.689055028171603|0.6886558619368619|0.6886234633930173,525|105|201|541|116|198|533|222|578|121|24|526|226|245|232|178|575|203|119|576|534|296|180|182|233|12|535|207|202|153|560|160|359|32|531|481|384|113|393|613|192|503,12,FALSE,15.83095549606766|15.677451637656269|15.47284239725489|15.317181274672054|14.403685705296109|14.203756285217697|13.785906716207524|13.672786293979149|13.443073425923494|12.960111183975542|12.87284956846645|12.379729462386228|12.281898575304792|12.056493669527967|12.033241893869615|12.014598692208871|11.825597055249006|11.577995860864872|11.523145219404697|11.518704576482152|11.441495087907102|11.375116498110003|11.358063366433264|11.188109718529242|11.04502757378578|10.877915631509548|10.749179080754475|10.547115382809992|10.54145278123154|10.316650676509978|10.31480182049829|10.28446419923319|10.152594371870823|10.026102241892543|9.871845418386158|9.836067513115069|9.61414021071905|9.3634480415542|9.337243942268625|9.17130704114135|8.965930019485157|8.852735788327328,232|178|121|119|525|105|201|541|116|198|533|222|578|24|526|226|245|575|203|576|56|630|565|627|61|276|130|536|491|54|571|618|291|182|59|17|1|264,15,FALSE,
42,mechanism,What approximation is used to marginalize over retrieved documents during generation?,527,3,630|56|130|536|61|232|17|276|54|62|15|565|109|49|581|1|572|518|386|627|552|31|632|591|24|527|357|545|557|263|6|84|573|517|529|10|89|582|291|491|561|123,26,FALSE,0.850418410888681|0.8333445420617991|0.8307141516517916|0.8184711966630902|0.8174577682102684|0.8144785924090284|0.8144713027597382|0.8112591496192337|0.8083843417659813|0.8069567513113446|0.8057171156722147|0.8035488254213556|0.8030006842721532|0.8026509582096328|0.8025785860101057|0.8020769893462075|0.79890815664576|0.7981325686802582|0.7970931756059594|0.7970928350958321|0.7960715059486031|0.7958358733406619|0.7949060194862253|0.7925940550602119|0.7918652842601104|0.7916158963272263|0.790867427594116|0.7905519305539846|0.7896559321724361|0.7892607252492755|0.788880880816955|0.7888195901231803|0.7884726526008092|0.7883533233711558|0.7882221671038087|0.7876683953836253|0.7876329459329011|0.7874327592361824|0.787344147116054|0.7866500863078294|0.7864542288804374|0.7863333739024947,577|535|152|192|242|207|210|232|71|498|384|563|553|302|392|105|582|253|340|155|231|391|72|175|548|393|139|228|239|510|331|215|323|578|111|260|588|193|2|190|501|337,,FALSE,13.497931675858297|11.544014075657449|8.964866033148208|8.028627812576818|7.970521646767775|7.750385426955157|7.596646653214316|7.374386289348237|7.330120863382633|7.3228392640491355|7.287997456815754|7.277629084689789|7.247198955773107|7.244437139383635|7.1285295521062135|6.951473864868589|6.930838246444287|6.4774920914136125|6.461406672369373|6.366315521184765|6.184736696687564|6.149097986656377|6.104843902706018|6.06792592960786|6.063485402404429|6.043927646669934|6.00883100586222|5.936081397779502|5.897730006366903|5.847197719267722|5.82972393575644|5.7930479365762295|5.767517235933031|5.7393974099096345|5.7343882924343905|5.709209888915154|5.686221935555627|5.599551257962866|5.554189640894933|5.531203319736959|5.45934763421708|5.449334951813254,232|582|577|535|152|192|242|207|210|71|498|384|563|553|302|392|105|253|340|155|630|56|130|536|61|17|276|54|62|15|565|109|49|581|1|572|518|386|627,,FALSE,
43,comparative,How does this approach differ from training non-parametric memory from scratch?,528,3,630|56|536|130|61|54|276|193|149|232|291|17|1|565|62|84|15|591|572|257|518|109|49|581|89|517|182|627|31|527|123|570|386|552|83|616|263|325|561|178|10|491,,FALSE,0.8129979374010926|0.8038136819851148|0.7979756763615434|0.7928721468341837|0.7896424762989102|0.7846780751392743|0.7791655693178302|0.7771145698689234|0.7766671855125439|0.7761901890219273|0.7742589086886074|0.772388934330892|0.7717415119173964|0.7706436806288224|0.7691838753694036|0.7691124645518153|0.7690499303014385|0.7687605905024499|0.7679904164785892|0.767272671287272|0.7671273913900355|0.7670642318110046|0.7669318260184127|0.7666838415560403|0.7660302229160869|0.7653610993238172|0.7652763908972289|0.76488284840707|0.7647120586316488|0.7639377914917396|0.7638595669029661|0.7625338670166141|0.762023578502121|0.7610291210013993|0.75974030629806|0.7593336839415018|0.7585807798176639|0.7582527385951418|0.7579776153888038|0.757715210774965|0.757400892751427|0.7570004869381504,299|248|526|586|309|231|317|546|528|519|166|328|314|226|218|496|449|171|188|167|237|286|307|316|202|230|588|16|320|313|155|219|209|325|249|361|550|87|26|239|233|289,9,FALSE,14.553174517203814|11.8556988162455|11.69043920501258|11.332052704919354|11.130371233877666|10.671838411778824|10.475459023396484|10.240721740661803|9.952775400808168|9.713715244645265|9.582889372749214|9.532794586561446|9.455622680269165|9.32900562470353|8.89975680554014|8.834740168206975|8.551617325540615|8.443384822170273|8.393343154850442|8.25974935777508|8.164503691139553|8.090170262799383|8.090170262799383|8.090170262799383|7.819417455540011|7.6705760434841554|7.596257241542799|7.152224253101744|7.129439378268403|7.103662733835389|6.992398532038344|6.976833203732964|6.905731105257001|6.857016792558637|6.8502536024949405|6.821583452842134|6.788622983065432|6.7523641983213984|6.7302749127596|6.641865096344232|6.512485037170359|6.463865594177177,299|248|526|586|309|231|317|546|528|519|166|328|314|226|218|496|449|171|188|167|630|56|536|130|61|54|276|193|149|232|291|17|1|565|62|84|15|591|572|257,9,FALSE,
44,historical,Which open-domain QA datasets achieve state-of-the-art results with RAG?,529,3,56|630|276|130|609|178|61|232|536|237|17|84|618|627|1|20|565|182|555|34|49|591|62|488|561|291|31|571|48|572|518|54|15|386|83|109|581|263|570|149|491|8,,FALSE,0.7783573396324647|0.7704660415905987|0.7647943766962915|0.7601636887671219|0.7532509925926592|0.7528819928134687|0.7506831966595011|0.7484840103493061|0.746740285622372|0.7418070740303506|0.7394205518366472|0.7384475316395662|0.7366233079451375|0.7360890881799833|0.735993186592489|0.734827441829462|0.7343680324070825|0.7336635394269385|0.7326509452516506|0.7316377931696222|0.7310394500808823|0.7309655585674676|0.7309595939914458|0.7303552297942922|0.7302061001349903|0.7296202093864674|0.7296023540961304|0.729391077073089|0.7287586822217321|0.7278990298223214|0.7277785693010068|0.7274223157424958|0.7272349548802302|0.7269606579155047|0.7269076697530535|0.7256629323999105|0.7254407982473331|0.7246045419639947|0.7243859781331661|0.7240745423169306|0.7235322639824037|0.7211454640461458,555|138|560|139|557|366|134|77|565|107|159|147|297|161|144|270|532|545|100|146|504|516|572|546|296|253|298|358|266|512|259|397|88|309|205|153|78|541|35|114|336|126,,FALSE,33.64945093637988|18.570827090898028|17.53429299050848|15.292960310231004|15.069785051068267|14.966316229667166|14.381167904765208|14.187328232577965|13.088303002878458|12.622093221895783|11.854658712736038|11.170459558095082|11.164933566272524|10.677419079439755|10.370723292759761|10.213119142876451|10.133150442853863|9.955230735877336|9.464893353783278|8.82034885938197|8.270515994991214|8.243493056172309|8.238262824507977|7.732551285773663|7.688051785075005|7.49918814126107|7.4890642738230975|7.404617967339794|7.223071622721003|7.02460106459054|7.004996482775593|6.685255367867028|6.679743119620639|6.568723391690337|6.559398955678627|6.457417507824795|6.440955794226675|6.433397514080983|6.349472249105544|6.345551911969325|6.335467694400389|6.2452920013080755,565|555|138|560|139|557|366|134|77|107|159|147|297|161|144|270|532|545|100|146|56|630|276|130|609|178|61|232|536|237|17|84|618|627|1|20|182|34,,FALSE,
45,definition,What components make up a retrieval-augmented generation model?,531,3,56|565|630|276|627|178|232|130|59|609|1|491|61|536|182|561|11|291|17|83|224|264|48|571|555|618|263|15|257|572|591|312|241|20|229|31|114|62|54|128|368|47,,FALSE,0.7309306897264789|0.7294151866851701|0.7240091844056621|0.7225304045775209|0.721258425091367|0.7206610903274353|0.7191470575058513|0.7132817320354339|0.7071010770895211|0.7066261749227988|0.7057643708967044|0.7055549745071077|0.7038277649453574|0.7023485171203756|0.7001851165274141|0.7000120587983566|0.6997935739958856|0.6995203016290665|0.6988577365229316|0.6979686224489046|0.6952636743905104|0.6952553485733308|0.6941156991536716|0.6940403392663498|0.6938066667884941|0.6934109565520119|0.6933571044710337|0.6923242837363778|0.6917421350587746|0.6906137200567477|0.6899822969889375|0.6894927384276087|0.68940482809837|0.6888921134678655|0.6888729428195471|0.6888501817268196|0.6880695830723486|0.6872771886945294|0.6871798339738382|0.6857837769348718|0.6857385683754313|0.68540423310087,292|288|290|302|214|265|514|263|293|539|465|203|467|463|79|386|299|580|253|111|384|155|105|307|71|228|533|510|188|502|149|245|88|89|229|202|582|158|124|498|264|567,,FALSE,17.239667234904697|16.202890418858992|12.595849285672816|12.246966030945988|11.078954940150842|10.600461501462492|10.551383070119453|10.489271613784776|10.36083985112796|9.91610239495399|9.87426107581472|8.833813472753345|8.413843731579485|8.305294176587346|7.885248966301191|7.781505995185748|7.218983213143938|7.126274635544178|7.0877157778369435|6.2355661143163505|6.2355661143163505|6.2239824112361255|6.017220377662213|6.001840724213565|5.9772963169750435|5.935168984037171|5.877013523638058|5.6863609842901575|5.661042624085526|5.6542533457383115|5.62452285515859|5.581461313544168|5.5091388525180305|5.467472659143925|5.428268678972735|5.2258628403417475|5.177435946505165|5.0181316102588625|4.9898070895181|4.986535875324377|4.952762472503211|4.8442873215605795,263|292|288|290|302|214|265|514|293|539|465|203|467|463|79|386|299|580|253|111|56|565|630|276|627|178|232|130|59|609|1|491|61|536|182|561|11|291|17|83,,FALSE,
46,mechanism,What assumption does the RAG-Sequence model make about retrieved documents?,533,3,56|630|276|130|232|178|536|61|17|1|609|15|571|627|48|62|54|291|31|565|109|49|581|562|572|83|386|591|123|263|84|495|555|570|182|518|561|241|618|397|149|491,,FALSE,0.7996263845989633|0.7953715322604248|0.7847344690485104|0.7758859242577291|0.7740928708852639|0.7723114916574562|0.7689308687429349|0.7657831653601871|0.7646810365390172|0.7599016940582788|0.7589867605858236|0.7576643894134911|0.7565600298195577|0.7555399018649769|0.7547682300287321|0.754551135447565|0.7538436289426808|0.750719067291459|0.7506974928267794|0.7498717936262789|0.7490214933385078|0.7484423706445864|0.747813240902113|0.7477967558766407|0.7467734049860693|0.7463863788680349|0.745766858555482|0.7454269900565479|0.7451096534311183|0.7442550522173322|0.7441351499336852|0.7441230160068139|0.7438782407247956|0.743356938780351|0.7420721299861538|0.7418637445621664|0.7416340049441649|0.7414893420835029|0.7405583032985587|0.7400608275697957|0.7390996634673935|0.738493031140174,535|577|578|202|105|541|226|384|302|533|575|203|510|197|534|576|526|297|548|178|567|121|242|201|563|228|307|198|245|560|116|270|568|290|559|539|12|579|542|532|281|291,10,FALSE,19.394246557916883|16.9920749574662|14.431860318889587|11.100125725582354|10.075699967320373|9.884535727518891|9.584321382903134|9.56863749505254|9.388985720229545|9.151831320165556|8.82871948958055|8.504276389912038|8.334889462780744|8.284807162024341|8.259777514439858|7.963880271607339|7.695530775200691|6.932359359672411|6.922870768737084|6.655638074028689|6.588598901865389|6.527016373271007|6.283333473390483|6.03801048981097|6.0220945128803525|5.956131139212052|5.917068696564842|5.91566909453946|5.752853511647988|5.730160079269652|5.704279821908296|5.585578454280359|5.574439707950786|5.520704816453216|5.516971694538953|5.412079223810318|5.408774777526254|5.4086537856003725|5.407723054089909|5.371627233466872|5.308816473438019|5.292482167361838,178|535|577|578|202|105|541|226|384|302|533|575|203|510|197|534|576|526|297|548|56|630|276|130|232|536|61|17|1|609|15|571|627|48|62|54|291|31|565,11,FALSE,
47,comparative,What capability does RAG-Token introduce compared to RAG-Sequence?,535,3,56|630|276|232|130|178|609|565|491|580|61|627|17|536|618|291|1|561|488|62|83|54|59|182|263|20|555|571|591|581|31|229|257|84|495|572|48|224|15|105|241|364,,FALSE,0.7447950480178192|0.7399091361926442|0.7397006973285941|0.7277940493131879|0.7254862635008719|0.7235475164837549|0.7219134971178989|0.7206436368823619|0.7197106420222262|0.7162895032726226|0.7149415540152488|0.7148970963994845|0.713695922344755|0.7135448183888093|0.7131504552253116|0.7126082050793301|0.7113215316229873|0.7088357102016101|0.7088120083479262|0.7083437272714753|0.7081558377736068|0.7076630243303441|0.7069953539919775|0.7066190617489386|0.7062184426625167|0.7055540931146814|0.7051009455433712|0.704495686916135|0.7034664238479846|0.7031136360930531|0.7030830367654928|0.7014603313787882|0.7012946985994617|0.7002589559774293|0.6987461910815616|0.6986951105336978|0.6968435692510039|0.6966537231476806|0.6965248746639456|0.6964460689935597|0.6964416210159626|0.6964044929091339,533|541|575|578|576|559|198|105|534|526|527|226|535|568|579|532|291|263|567|516|569|384|574|536|222|558|288|236|289|571|228|570|373|560|182|572|565|290|300|287|302|362,13,FALSE,19.763016804459586|17.881614582925604|17.097819450992656|15.782321431087983|15.107614232622145|13.910661280850896|12.464959326164966|12.349518414591781|12.213533157579729|11.925024357236078|11.786816000789244|11.464098571479479|11.36984285403162|11.148879415901572|10.817307571200745|10.802783875361985|10.431479330475305|10.084199458096673|9.90645280265597|9.615466027120704|9.615466027120704|9.44845941460996|9.35461516070571|8.945070416874863|8.844063785714116|8.735688024864846|8.634900122048826|8.459668560730254|8.373763498118416|8.260544253127746|8.100339869367287|7.506487766092829|7.326282968639141|7.17732251772928|7.014433029505409|6.9340710488569846|6.762184732792631|6.760953634124925|6.5850269132033|6.452865986777981|6.382870464938363|6.381819188438103,291|263|105|533|541|575|578|576|559|198|534|526|527|226|535|568|579|532|567|516|56|630|276|232|130|178|609|565|491|580|61|627|17|536|618|1|561|488|62,15,FALSE,
48,process,How can RAG be adapted for sequence classification?,536,3,491|565|576|56|627|276|630|232|178|128|130|580|11|182|274|257|114|59|536|291|1|224|118|83|17|105|308|591|571|561|15|10|509|574|31|628|61|312|20|62|273|327,19,FALSE,0.6779680227322203|0.6545414913456661|0.6543478912129966|0.653095781989219|0.6496696775380812|0.6411435781512341|0.6406788617256505|0.6365836050452037|0.6363991482084307|0.6344313524880454|0.6336426368975017|0.6316524506218169|0.6296066149653946|0.6275047589050264|0.6263854467468752|0.6260325168712126|0.6257483279778168|0.625429990033859|0.6250752013968491|0.6242655692564033|0.6231900962800607|0.6221589920785164|0.6221057015928946|0.6220506356661087|0.6216639974100275|0.6204550956134613|0.6203653524137298|0.6202765641891834|0.6200819310742374|0.6195815440262615|0.6195094330073053|0.619442197929888|0.6192859695674751|0.6188284243747011|0.6184175632955007|0.6179908598979827|0.6178808236289342|0.6177589107571054|0.6170815028874717|0.616508200500839|0.6161700567257986|0.6160848804234418,541|261|341|180|311|578|164|87|565|533|92|290|116|240|289|501|575|576|314|534|275|300|386|384|328|203|535|526|245|88|232|202|51|263|361|165|327|385|504|73|241|568,,FALSE,11.932487251410238|11.652285186229111|10.847214229968538|10.659803303921953|10.35996040718787|10.257259147913977|10.225811026202006|9.61327608980656|9.21909374357061|9.151831320165556|8.96195377097662|8.791407237005007|8.57321462637434|8.548482554126828|8.473292834422935|8.472188115539778|7.966637159322734|7.963880271607339|7.885008031560014|7.6976253655234865|7.567273055759719|7.5170691876989935|7.363344316887354|7.303393810550692|7.262302308572733|7.208756036215941|7.134394726263332|7.083640811866507|7.02113518068764|7.000771331925369|6.9492039222612565|6.738898367366449|6.488122592893949|6.077033523371688|6.048660718298826|6.019883606588676|6.0175485283010595|5.989165329345999|5.901813984164006|5.770684033568216|5.6567157538514685|5.574439707950786,565|576|541|261|341|180|311|578|164|87|533|92|290|116|240|289|501|575|314|534|491|56|627|276|630|232|178|128|130|580|11|182|274|257|114|59|536|291,37,FALSE,-18
49,mechanism,What similarity operation is used to score query–document pairs in DPR?,537,3,222|43|491|424|575|229|345|83|471|524|123|399|232|523|136|82|77|630|276|237|93|48|312|56|90|134|61|632|565|265|555|178|130|268|230|1|210|502|145|67|249|387,,FALSE,0.9952313689106088|0.26804789347694896|0.19975613423660232|0.19732277627063416|0.1900015851901899|0.18857107224017203|0.18501248261217554|0.1845637150878155|0.1835777532448604|0.18264995216354438|0.18226059182552865|0.18142822060849517|0.18105858467700783|0.18080158018170728|0.18050960090968862|0.17985685921040498|0.17960547733602933|0.1791895629549987|0.17902793788522198|0.1781319943193835|0.17801810365101217|0.17790390665675804|0.17739777225552722|0.17666832316610243|0.17593279532804482|0.17550136169675648|0.1754870944990528|0.17548612727219745|0.17546126267601456|0.17530569329158538|0.17528381712326138|0.17515476640543928|0.17506811458617508|0.17484899752163838|0.1746172925257567|0.17454115089095426|0.17443606115820093|0.17436435878306633|0.1743570476391513|0.17423450167516183|0.174075550669905|0.17407456469394914,510|208|175|86|348|351|192|172|176|103|105|296|302|349|295|345|563|319|275|289|253|278|284|277|331|393|509|71|102|158|152|512|232|337|346|218|245|279|386|525|324|272,,FALSE,12.605753854573237|11.857355829081968|10.660879416740425|10.404987035207835|9.820093906106703|9.546317554186555|9.283174439999602|9.12602073821858|8.22405338779378|8.195979228581377|8.094013257595241|8.003641742004648|7.948502916848096|7.606895599544369|7.536726875503243|7.504498724726453|7.385925816649905|7.371549167107793|7.31471066715779|7.301767508870874|7.195009376733745|7.127902462643318|6.982772411899484|6.950940274401034|6.886528010902614|6.730823505526664|6.672741140514848|6.489531478048323|6.487299414657197|6.480913865368646|6.3724859704225345|6.332668360704826|6.260861200364014|6.210478238696811|6.1948989086917985|6.178157862596569|6.140341573334337|6.133699489578419|6.12128600160636|6.0946071244928754|6.075501325165833|6.0722228925899895,345|510|208|175|86|348|351|192|172|176|103|105|296|302|349|295|563|319|275|289|222|43|491|424|575|229|83|471|524|123|399|232|523|136|82|77|630|276|237,,FALSE,
